Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
105,1,3,5,113,31,7,200,39,161
105,2,2,3,250,46,14,200,36,164
106,0,1,8,196,36,0,200,35,165
106,1,3,4,168,36,7,200,57,143
106,2,5,4,113,31,7,200,39,161
107,0,1,3,119,33,11,200,33,167
107,1,7,4,32,24,8,200,28,172
107,2,5,7,153,39,19,200,25,175
108,0,5,7,1,23,13,200,50,150
108,1,1,1,205,39,6,200,44,156
108,2,4,8,25,23,7,200,37,163
109,0,2,5,58,26,7,200,44,156
109,1,5,5,252,44,8,200,30,170
109,2,8,5,185,39,11,200,26,174
110,0,4,8,55,29,16,200,29,171
110,1,5,9,272,48,14,200,34,166
110,2,2,7,161,35,6,200,37,163
111,0,8,2,114,30,4,200,44,156
111,1,4,9,203,37,1,200,39,161
111,2,5,8,140,32,3,200,41,159
112,0,1,0,132,36,16,200,40,160
112,1,9,5,185,43,22,200,40,160
112,2,9,8,249,43,6,200,36,164
113,0,5,8,110,30,5,200,44,156
113,1,4,8,344,52,7,200,38,162
113,2,6,0,342,50,2,200,32,168
114,0,3,8,147,37,15,200,38,162
114,1,1,3,219,41,8,200,43,157
114,2,2,1,36,24,7,200,44,156
115,0,3,6,130,30,0,200,34,166
115,1,5,2,213,39,4,200,39,161
115,2,8,6,191,37,4,200,46,154
116,0,6,8,27,21,1,200,38,162
116,1,0,7,408,56,2,200,44,156
116,2,7,3,206,38,3,200,35,165
117,0,2,5,228,40,3,200,31,169
117,1,8,3,173,35,3,200,38,162
117,2,4,2,86,26,0,200,48,152
118,0,0,1,52,24,3,200,41,159
118,1,2,3,202,38,4,200,47,153
118,2,2,6,137,31,1,200,42,158
119,0,9,2,1,23,13,200,40,160
119,1,5,5,203,41,12,200,29,171
119,2,6,0,203,37,1,200,42,158
120,0,6,6,-43,15,2,200,33,167
120,1,0,4,353,51,2,200,29,171
120,2,9,2,383,53,0,200,42,158
121,0,0,0,81,27,4,200,37,163
121,1,5,1,159,37,12,200,38,162
121,2,8,2,306,50,11,200,36,164
122,0,8,3,262,42,0,200,40,160
122,1,4,9,245,43,7,200,46,154
122,2,2,0,212,40,7,200,41,159
123,0,8,6,317,47,0,200,34,166
123,1,5,9,159,33,1,200,33,167
123,2,2,6,170,34,1,200,46,154
124,0,7,3,114,30,4,200,34,166
124,1,5,2,293,47,6,200,37,163
124,2,4,4,232,40,2,200,39,161
125,0,7,9,174,34,0,200,37,163
125,1,0,0,246,42,4,200,43,157
125,2,0,7,246,42,4,200,48,152
126,0,2,2,235,41,4,200,46,154
126,1,5,2,151,33,3,200,42,158
126,2,3,1,190,38,7,200,46,154
127,0,1,2,154,34,5,200,42,158
127,1,8,5,116,32,9,200,56,144
127,2,3,8,136,32,4,200,39,161
128,0,8,6,361,51,0,200,41,159
128,1,4,2,251,41,0,200,47,153
128,2,3,6,240,40,0,200,32,168
129,0,7,4,331,49,2,200,29,171
129,1,6,0,161,35,6,200,48,152
129,2,5,1,59,25,4,200,37,163
130,0,8,7,166,34,2,200,39,161
130,1,8,1,233,43,10,200,36,164
130,2,3,4,87,29,8,200,46,154
131,0,7,8,74,30,14,200,30,170
131,1,5,9,306,46,0,200,43,157
131,2,8,9,151,37,14,200,39,161
132,0,8,9,235,45,15,200,45,155
132,1,4,6,236,44,12,200,57,143
132,2,4,9,159,37,12,200,41,159
133,0,7,2,281,47,9,200,49,151
133,1,8,1,211,41,10,200,43,157
133,2,5,0,210,42,13,200,36,164
134,0,4,4,324,48,1,200,34,166
134,1,4,0,223,41,7,200,44,156
134,2,6,6,285,47,8,200,39,161
135,0,4,7,130,30,0,200,40,160
135,1,4,5,42,22,0,200,33,167
135,2,7,3,108,28,0,200,42,158
136,0,8,2,159,33,1,200,35,165
136,1,1,9,104,28,1,200,36,164
136,2,8,9,218,38,0,200,39,161
137,0,6,6,126,30,1,200,39,161
137,1,1,0,306,46,0,200,35,165
137,2,7,5,357,51,1,200,36,164
138,0,4,5,148,32,1,200,34,166
138,1,1,2,-31,19,10,200,51,149
138,2,6,6,-13,21,11,200,54,146
139,0,3,2,49,31,23,200,40,160
139,1,8,5,52,32,25,200,46,154
139,2,3,4,265,43,2,200,38,162
140,0,8,7,132,32,5,200,43,157
140,1,7,1,243,41,2,200,34,166
140,2,3,8,228,40,3,200,45,155
141,0,3,7,304,48,6,200,42,158
141,1,4,7,69,27,7,200,43,157
141,2,7,1,-6,18,1,200,41,159
